+-------------+----------------+-------------+------------+--------------+
|     I_O     | Buffer_Size_KB | Write_Count | Read_Count | Time_Taken_s |
|  UMmap_Read |      4096      |      4      |     4      |  0.008966s   |
| UMmap_Write |      6144      |      6      |     4      |  0.013306s   |
|  UMmap_Read |      4096      |      6      |     4      |  0.009278s   |
| UMmap_Write |      8192      |      8      |     4      |  0.008696s   |
|  UMmap_Read |      4096      |      8      |     4      |  0.009238s   |
| UMmap_Write |     10240      |      10     |     4      |  0.018173s   |
|  UMmap_Read |      4096      |      10     |     4      |  0.008501s   |
| UMmap_Write |      6144      |      6      |     6      |  0.009985s   |
|  UMmap_Read |      6144      |      6      |     6      |  0.008618s   |
| UMmap_Write |      8192      |      8      |     6      |  0.009003s   |
|  UMmap_Read |      6144      |      8      |     6      |  0.010081s   |
| UMmap_Write |     10240      |      10     |     6      |  0.009842s   |
|  UMmap_Read |      6144      |      10     |     6      |  0.008701s   |
| UMmap_Write |      8192      |      8      |     8      |  0.011588s   |
|  UMmap_Read |      8192      |      8      |     8      |  0.012633s   |
| UMmap_Write |     10240      |      10     |     8      |   0.01284s   |
|  UMmap_Read |      8192      |      10     |     8      |  0.008726s   |
| UMmap_Write |     10240      |      10     |     10     |  0.012653s   |
|  UMmap_Read |     10240      |      10     |     10     |  0.009551s   |
| UMmap_Write |      8192      |      1      |     1      |  0.044786s   |
|  UMmap_Read |      8192      |      1      |     1      |  0.056385s   |
| UMmap_Write |     16384      |      2      |     1      |  0.047497s   |
|  UMmap_Read |      8192      |      2      |     1      |  0.053735s   |
| UMmap_Write |     32768      |      4      |     1      |  0.048868s   |
|  UMmap_Read |      8192      |      4      |     1      |  0.044453s   |
| UMmap_Write |     49152      |      6      |     1      |  0.046902s   |
|  UMmap_Read |      8192      |      6      |     1      |  0.043909s   |
| UMmap_Write |     65536      |      8      |     1      |  0.062561s   |
|  UMmap_Read |      8192      |      8      |     1      |  0.049601s   |
| UMmap_Write |     81920      |      10     |     1      |  0.055794s   |
|  UMmap_Read |      8192      |      10     |     1      |  0.051122s   |
| UMmap_Write |     16384      |      2      |     2      |  0.045451s   |
|  UMmap_Read |     16384      |      2      |     2      |   0.05497s   |
| UMmap_Write |     32768      |      4      |     2      |  0.064554s   |
|  UMmap_Read |     16384      |      4      |     2      |  0.054704s   |
| UMmap_Write |     49152      |      6      |     2      |  0.053531s   |
|  UMmap_Read |     16384      |      6      |     2      |  0.049705s   |
| UMmap_Write |     65536      |      8      |     2      |  0.050845s   |
|  UMmap_Read |     16384      |      8      |     2      |  0.051793s   |
| UMmap_Write |     81920      |      10     |     2      |   0.06679s   |
|  UMmap_Read |     16384      |      10     |     2      |  0.071626s   |
| UMmap_Write |     32768      |      4      |     4      |  0.049827s   |
|  UMmap_Read |     32768      |      4      |     4      |  0.055805s   |
| UMmap_Write |     49152      |      6      |     4      |  0.050882s   |
|  UMmap_Read |     32768      |      6      |     4      |  0.049577s   |
| UMmap_Write |     65536      |      8      |     4      |  0.051897s   |
|  UMmap_Read |     32768      |      8      |     4      |   0.06867s   |
| UMmap_Write |     81920      |      10     |     4      |  0.062394s   |
|  UMmap_Read |     32768      |      10     |     4      |   0.0613s    |
| UMmap_Write |     49152      |      6      |     6      |  0.053323s   |
|  UMmap_Read |     49152      |      6      |     6      |  0.057357s   |
| UMmap_Write |     65536      |      8      |     6      |  0.054966s   |
|  UMmap_Read |     49152      |      8      |     6      |  0.064556s   |
| UMmap_Write |     81920      |      10     |     6      |  0.059303s   |
|  UMmap_Read |     49152      |      10     |     6      |  0.068657s   |
| UMmap_Write |     65536      |      8      |     8      |  0.062578s   |
|  UMmap_Read |     65536      |      8      |     8      |  0.068941s   |
| UMmap_Write |     81920      |      10     |     8      |  0.076775s   |
|  UMmap_Read |     65536      |      10     |     8      |  0.065772s   |
| UMmap_Write |     81920      |      10     |     10     |  0.054701s   |
|  UMmap_Read |     81920      |      10     |     10     |  0.060685s   |
| UMmap_Write |     16384      |      1      |     1      |  0.078943s   |
|  UMmap_Read |     16384      |      1      |     1      |  0.102122s   |
| UMmap_Write |     32768      |      2      |     1      |  0.090116s   |
|  UMmap_Read |     16384      |      2      |     1      |  0.100944s   |
| UMmap_Write |     65536      |      4      |     1      |  0.103791s   |
|  UMmap_Read |     16384      |      4      |     1      |  0.102811s   |
| UMmap_Write |     98304      |      6      |     1      |  0.115823s   |
|  UMmap_Read |     16384      |      6      |     1      |  0.102379s   |
| UMmap_Write |     131072     |      8      |     1      |  0.094626s   |
|  UMmap_Read |     16384      |      8      |     1      |  0.073146s   |
| UMmap_Write |     163840     |      10     |     1      |  0.103594s   |
|  UMmap_Read |     16384      |      10     |     1      |  0.085291s   |
| UMmap_Write |     32768      |      2      |     2      |  0.070078s   |
|  UMmap_Read |     32768      |      2      |     2      |  0.081275s   |
| UMmap_Write |     65536      |      4      |     2      |  0.078476s   |
|  UMmap_Read |     32768      |      4      |     2      |  0.075804s   |
| UMmap_Write |     98304      |      6      |     2      |  0.081675s   |
|  UMmap_Read |     32768      |      6      |     2      |  0.076075s   |
| UMmap_Write |     131072     |      8      |     2      |  0.138917s   |
|  UMmap_Read |     32768      |      8      |     2      |  0.117419s   |
| UMmap_Write |     163840     |      10     |     2      |  0.122056s   |
|  UMmap_Read |     32768      |      10     |     2      |  0.111785s   |
| UMmap_Write |     65536      |      4      |     4      |  0.095497s   |
|  UMmap_Read |     65536      |      4      |     4      |  0.097204s   |
| UMmap_Write |     98304      |      6      |     4      |  0.095517s   |
|  UMmap_Read |     65536      |      6      |     4      |  0.100714s   |
| UMmap_Write |     131072     |      8      |     4      |  0.112227s   |
|  UMmap_Read |     65536      |      8      |     4      |   0.11507s   |
| UMmap_Write |     163840     |      10     |     4      |  0.122444s   |
|  UMmap_Read |     65536      |      10     |     4      |  0.098794s   |
| UMmap_Write |     98304      |      6      |     6      |  0.080263s   |
|  UMmap_Read |     98304      |      6      |     6      |  0.087108s   |
| UMmap_Write |     131072     |      8      |     6      |  0.083923s   |
|  UMmap_Read |     98304      |      8      |     6      |  0.080115s   |
| UMmap_Write |     163840     |      10     |     6      |  0.081909s   |
|  UMmap_Read |     98304      |      10     |     6      |  0.089421s   |
| UMmap_Write |     131072     |      8      |     8      |  0.090726s   |
|  UMmap_Read |     131072     |      8      |     8      |  0.095033s   |
| UMmap_Write |     163840     |      10     |     8      |  0.099723s   |
|  UMmap_Read |     131072     |      10     |     8      |  0.139807s   |
| UMmap_Write |     163840     |      10     |     10     |  0.142414s   |
|  UMmap_Read |     163840     |      10     |     10     |  0.141509s   |
+-------------+----------------+-------------+------------+--------------+
