I_O 		Buffer_Size_KB 		Write_Count 		Read_Count 		Time_Taken_s
UMmap_Write		512		8		6		0.013147s
UMmap_Read		384		8		6		0.009094s
Write		512		8		8		0.000646s
Read		512		8		8		7.5e-05s
AIO_Write		512		8		8		0.014542s
AIO_Read		512		8		8		0.000662s
MMap_Write		512		8		8		0.006343s
MMap_Read		512		8		8		0.000837s
UMmap_Write		512		8		8		0.01296s
UMmap_Read		512		8		8		0.011994s
Write		640		10		1		0.000638s
Read		64		10		1		1.2e-05s
AIO_Write		640		10		1		0.011255s
AIO_Read		64		10		1		0.000108s
MMap_Write		640		10		1		0.004616s
MMap_Read		64		10		1		0.000177s
UMmap_Write		640		10		1		0.010488s
UMmap_Read		64		10		1		0.009688s
Write		640		10		2		0.000686s
Read		128		10		2		2.6e-05s
AIO_Write		640		10		2		0.025253s
AIO_Read		128		10		2		0.000159s
MMap_Write		640		10		2		0.007354s
MMap_Read		128		10		2		0.000265s
UMmap_Write		640		10		2		0.008713s
UMmap_Read		128		10		2		0.009275s
Write		640		10		4		0.000699s
Read		256		10		4		4.2e-05s
AIO_Write		640		10		4		0.012863s
AIO_Read		256		10		4		0.00021s
MMap_Write		640		10		4		0.009179s
MMap_Read		256		10		4		0.00018s
UMmap_Write		640		10		4		0.008017s
UMmap_Read		256		10		4		0.009439s
Write		640		10		6		0.000648s
Read		384		10		6		5.2e-05s
AIO_Write		640		10		6		0.019943s
AIO_Read		384		10		6		0.000378s
MMap_Write		640		10		6		0.008323s
MMap_Read		384		10		6		0.000274s
UMmap_Write		640		10		6		0.010243s
UMmap_Read		384		10		6		0.008523s
Write		640		10		8		0.003848s
Read		512		10		8		8.1e-05s
AIO_Write		640		10		8		0.014677s
AIO_Read		512		10		8		0.000688s
MMap_Write		640		10		8		0.004756s
MMap_Read		512		10		8		0.000209s
UMmap_Write		640		10		8		0.011932s
UMmap_Read		512		10		8		0.009963s
Write		640		10		10		0.00469s
Read		640		10		10		9.8e-05s
AIO_Write		640		10		10		0.0077s
AIO_Read		640		10		10		0.008578s
MMap_Write		640		10		10		0.005977s
MMap_Read		640		10		10		0.000213s
UMmap_Write		640		10		10		0.015506s
UMmap_Read		640		10		10		0.008598s
Write		1024		1		1		0.009272s
Read		1024		1		1		0.003711s
AIO_Write		1024		1		1		0.021906s
