I_O ,Buffer_Size_KB ,Write_Count ,Read_Count ,Time_Taken_s
Read,1024,6,1,0.00048s
AIO_Write,6144,6,1,0.073363s
AIO_Read,1024,6,1,0.000242s
Write,8192,8,1,0.014979s
Read,1024,8,1,0.000492s
AIO_Write,8192,8,1,0.095654s
AIO_Read,1024,8,1,0.000256s
Write,10240,10,1,0.018344s
Read,1024,10,1,0.004585s
AIO_Write,10240,10,1,0.112543s
AIO_Read,1024,10,1,0.000248s
Write,2048,2,2,0.004784s
Read,2048,2,2,0.000651s
AIO_Write,2048,2,2,0.039252s
AIO_Read,2048,2,2,0.006428s
Write,4096,4,2,0.005885s
Read,2048,4,2,0.008829s
AIO_Write,4096,4,2,0.044582s
AIO_Read,2048,4,2,0.002312s
Write,6144,6,2,0.013465s
Read,2048,6,2,0.000748s
AIO_Write,6144,6,2,0.082628s
AIO_Read,2048,6,2,0.009375s
Write,8192,8,2,0.021289s
Read,2048,8,2,0.000704s
AIO_Write,8192,8,2,0.103902s
AIO_Read,2048,8,2,0.004799s
Write,10240,10,2,0.019813s
Read,2048,10,2,0.005144s
AIO_Write,10240,10,2,0.106772s
AIO_Read,2048,10,2,0.000783s
Write,4096,4,4,0.013635s
Read,4096,4,4,0.001059s
AIO_Write,4096,4,4,0.059521s
AIO_Read,4096,4,4,0.014877s
Write,6144,6,4,0.021261s
Read,4096,6,4,0.001038s
AIO_Write,6144,6,4,0.079406s
AIO_Read,4096,6,4,0.017466s
Write,8192,8,4,0.016677s
Read,4096,8,4,0.001105s
AIO_Write,8192,8,4,0.101075s
AIO_Read,4096,8,4,0.01255s
Write,10240,10,4,0.018368s
Read,4096,10,4,0.00104s
AIO_Write,10240,10,4,0.113557s
AIO_Read,4096,10,4,0.001969s
Write,6144,6,6,0.012174s
Read,6144,6,6,0.001454s
AIO_Write,6144,6,6,0.08482s
AIO_Read,6144,6,6,0.005222s
Write,8192,8,6,0.015953s
Read,6144,8,6,0.008465s
AIO_Write,8192,8,6,0.100173s
AIO_Read,6144,8,6,0.006542s
Write,10240,10,6,0.023758s
Read,6144,10,6,0.001567s
AIO_Write,10240,10,6,0.113599s
AIO_Read,6144,10,6,0.008181s
Write,8192,8,8,0.018887s
Read,8192,8,8,0.001933s
AIO_Write,8192,8,8,0.180682s
AIO_Read,8192,8,8,0.019803s
Write,10240,10,8,0.018778s
Read,8192,10,8,0.001589s
AIO_Write,10240,10,8,0.155509s
AIO_Read,8192,10,8,0.019002s
Write,10240,10,10,0.026315s
Read,10240,10,10,0.004337s
AIO_Write,10240,10,10,0.229782s
AIO_Read,10240,10,10,0.025774s
Write,8192,1,1,0.073354s
Read,8192,1,1,0.015168s
AIO_Write,8192,1,1,0.091484s
AIO_Read,8192,1,1,0.011993s
Write,16384,2,1,0.122421s
Read,8192,2,1,0.014776s
AIO_Write,16384,2,1,0.141338s
AIO_Read,8192,2,1,0.001583s
Write,32768,4,1,0.14947s
Read,8192,4,1,0.010315s
AIO_Write,32768,4,1,0.39797s
AIO_Read,8192,4,1,0.010659s
Write,49152,6,1,0.188084s
Read,8192,6,1,0.028597s
AIO_Write,49152,6,1,0.477042s
AIO_Read,8192,6,1,0.002397s
Write,65536,8,1,0.902156s
Read,8192,8,1,0.011434s
AIO_Write,65536,8,1,0.72267s
AIO_Read,8192,8,1,0.007719s
Write,81920,10,1,0.185057s
Read,8192,10,1,0.020346s
AIO_Write,81920,10,1,0.662975s
AIO_Read,8192,10,1,0.005805s
Write,16384,2,2,0.090182s
Read,16384,2,2,0.013235s
AIO_Write,16384,2,2,0.11691s
AIO_Read,16384,2,2,0.010264s
Write,32768,4,2,0.1015s
Read,16384,4,2,0.005854s
AIO_Write,32768,4,2,0.179178s
AIO_Read,16384,4,2,0.018934s
Write,49152,6,2,0.115502s
Read,16384,6,2,0.010337s
AIO_Write,49152,6,2,0.313251s
AIO_Read,16384,6,2,0.011738s
Write,65536,8,2,0.136986s
Read,16384,8,2,0.011024s
AIO_Write,65536,8,2,0.387794s
AIO_Read,16384,8,2,0.014298s
Write,81920,10,2,0.163087s
Read,16384,10,2,0.015222s
AIO_Write,81920,10,2,0.483793s
AIO_Read,16384,10,2,0.02543s
Write,32768,4,4,0.10211s
Read,32768,4,4,0.023417s
AIO_Write,32768,4,4,0.232178s
AIO_Read,32768,4,4,0.02106s
Write,49152,6,4,0.143681s
Read,32768,6,4,0.023862s
AIO_Write,49152,6,4,0.367572s
AIO_Read,32768,6,4,0.033986s
Write,65536,8,4,0.65269s
Read,32768,8,4,0.017911s
AIO_Write,65536,8,4,0.397239s
AIO_Read,32768,8,4,0.039808s
Write,81920,10,4,0.196195s
Read,32768,10,4,0.029162s
AIO_Write,81920,10,4,0.548513s
AIO_Read,32768,10,4,0.030349s
Write,49152,6,6,0.120721s
Read,49152,6,6,0.035625s
AIO_Write,49152,6,6,0.343886s
AIO_Read,49152,6,6,0.054594s
Write,65536,8,6,0.143917s
Read,49152,8,6,0.020763s
AIO_Write,65536,8,6,0.406918s
AIO_Read,49152,8,6,0.06295s
Write,81920,10,6,0.371892s
Read,49152,10,6,0.028701s
AIO_Write,81920,10,6,1.04097s
AIO_Read,49152,10,6,0.046065s
Write,65536,8,8,0.917732s
Read,65536,8,8,0.223056s
AIO_Write,65536,8,8,1.17985s
AIO_Read,65536,8,8,0.129141s
Write,81920,10,8,1.16582s
Read,65536,10,8,0.071979s
AIO_Write,81920,10,8,1.80124s
AIO_Read,65536,10,8,0.08054s
Write,81920,10,10,0.180206s
Read,81920,10,10,0.043421s
AIO_Write,81920,10,10,1.11576s
AIO_Read,81920,10,10,0.382843s
Write,16384,1,1,0.411706s
Read,16384,1,1,0.015914s
AIO_Write,16384,1,1,0.696663s
AIO_Read,16384,1,1,0.016068s
Write,32768,2,1,0.832578s
Read,16384,2,1,0.377696s
AIO_Write,32768,2,1,2.18216s
AIO_Read,16384,2,1,0.01364s
Write,65536,4,1,0.282407s
Read,16384,4,1,0.014207s
AIO_Write,65536,4,1,0.675126s
AIO_Read,16384,4,1,0.008527s
Write,98304,6,1,0.285952s
Read,16384,6,1,0.012992s
AIO_Write,98304,6,1,0.650014s
AIO_Read,16384,6,1,0.030608s
Write,131072,8,1,0.435872s
Read,16384,8,1,0.015991s
AIO_Write,131072,8,1,0.913086s
AIO_Read,16384,8,1,0.003329s
Write,163840,10,1,0.36495s
Read,16384,10,1,0.015543s
AIO_Write,163840,10,1,1.14172s
AIO_Read,16384,10,1,0.011347s
Write,32768,2,2,0.24739s
Read,32768,2,2,0.029294s
AIO_Write,32768,2,2,0.467964s
AIO_Read,32768,2,2,0.080614s
Write,65536,4,2,0.428513s
Read,32768,4,2,0.01917s
AIO_Write,65536,4,2,0.38322s
AIO_Read,32768,4,2,0.029891s
Write,98304,6,2,0.279198s
Read,32768,6,2,0.019106s
AIO_Write,98304,6,2,0.706492s
AIO_Read,32768,6,2,0.178641s
Write,131072,8,2,0.307226s
Read,32768,8,2,0.020691s
AIO_Write,131072,8,2,0.73205s
AIO_Read,32768,8,2,0.03848s
Write,163840,10,2,0.295252s
Read,32768,10,2,0.023111s
AIO_Write,163840,10,2,0.865414s
AIO_Read,32768,10,2,0.049998s
Write,65536,4,4,0.517566s
Read,65536,4,4,0.057918s
