I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Read		400m		200m		2		2		0.08061s
Read		400m		200m		2		3		0.053954s
Read		400m		200m		2		4		0.051872s
Total_Read		1000m		200m		2		5		0.289737s
AIO_Write		400m		200m		2		5		1.44602s
AIO_Read		400m		200m		2		5		1.13492s
MMap_Write		400m		200m		2		5		1.80888s
MMap_Read		400m		200m		2		5		1.26522s
UMmap_Write		400m		200m		2		5		1.39582s
UMmap_Read		400m		200m		2		5		4.02588s
Write		400m		200m		0		10		0.64121s
Write		400m		200m		1		10		0.675168s
Total_Write		400m		200m		2		10		0.658189s
Read		400m		200m		2		0		0.577779s
Read		400m		200m		2		1		0.627285s
Read		400m		200m		2		2		0.079241s
Read		400m		200m		2		3		0.052171s
Read		400m		200m		2		4		0.054906s
Read		400m		200m		2		5		0.056196s
Read		400m		200m		2		6		0.053679s
Read		400m		200m		2		7		0.051601s
Read		400m		200m		2		8		0.055118s
Read		400m		200m		2		9		0.05537s
Total_Read		2000m		200m		2		10		0.166335s
AIO_Write		400m		200m		2		10		1.46161s
AIO_Read		400m		200m		2		10		1.11451s
MMap_Write		400m		200m		2		10		1.87577s
MMap_Read		400m		200m		2		10		2.08379s
UMmap_Write		400m		200m		2		10		1.37704s
UMmap_Read		400m		200m		2		10		7.29583s
Write		400m		200m		0		15		0.639456s
Write		400m		200m		1		15		0.669201s
Total_Write		400m		200m		2		15		0.654329s
Read		400m		200m		2		0		0.584312s
Read		400m		200m		2		1		0.632356s
Read		400m		200m		2		2		0.08021s
Read		400m		200m		2		3		0.051491s
Read		400m		200m		2		4		0.05131s
Read		400m		200m		2		5		0.050861s
Read		400m		200m		2		6		0.050878s
Read		400m		200m		2		7		0.051085s
Read		400m		200m		2		8		0.051044s
Read		400m		200m		2		9		0.051048s
Read		400m		200m		2		10		0.050517s
Read		400m		200m		2		11		0.050854s
Read		400m		200m		2		12		0.056991s
Read		400m		200m		2		13		0.056689s
Read		400m		200m		2		14		0.052938s
Total_Read		3000m		200m		2		15		0.128172s
AIO_Write		400m		200m		2		15		1.39665s
AIO_Read		400m		200m		2		15		1.08504s
MMap_Write		400m		200m		2		15		1.80372s
MMap_Read		400m		200m		2		15		2.91316s
UMmap_Write		400m		200m		2		15		1.3882s
UMmap_Read		400m		200m		2		15		3.48837s
Write		600m		200m		0		5		0.633918s
Write		600m		200m		1		5		0.687262s
Write		600m		200m		2		5		0.677652s
Total_Write		600m		200m		3		5		0.666277s
Read		600m		200m		3		0		0.587974s
Read		600m		200m		3		1		0.63378s
Read		600m		200m		3		2		0.626636s
Read		600m		200m		3		3		0.078563s
Read		600m		200m		3		4		0.049473s
Total_Read		1000m		200m		3		5		0.395285s
AIO_Write		600m		200m		3		5		2.07985s
AIO_Read		600m		200m		3		5		1.66144s
MMap_Write		600m		200m		3		5		2.40807s
MMap_Read		600m		200m		3		5		1.22861s
UMmap_Write		600m		200m		3		5		2.04112s
UMmap_Read		600m		200m		3		5		3.94344s
Write		600m		200m		0		10		0.695861s
Write		600m		200m		1		10		0.66979s
Write		600m		200m		2		10		0.672525s
Total_Write		600m		200m		3		10		0.679392s
