I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Total_Read		200m		20m		1		10		0.231957s
AIO_Write		20m		20m		1		10		0.107978s
AIO_Read		20m		20m		1		10		0.068639s
MMap_Write		20m		20m		1		10		0.159929s
MMap_Read		20m		20m		1		10		0.684667s
UMmap_Write		20m		20m		1		10		0.103851s
UMmap_Read		20m		20m		1		10		1.00621s
Write		20m		20m		0		15		0.309337s
Total_Write		20m		20m		1		15		0.309337s
Read		20m		20m		1		0		0.318863s
Read		20m		20m		1		1		0.209888s
Read		20m		20m		1		2		0.237367s
Read		20m		20m		1		3		0.235228s
Read		20m		20m		1		4		0.196402s
Read		20m		20m		1		5		0.233724s
Read		20m		20m		1		6		0.156135s
Read		20m		20m		1		7		0.231217s
Read		20m		20m		1		8		0.229413s
Read		20m		20m		1		9		0.230695s
Read		20m		20m		1		10		0.269284s
Read		20m		20m		1		11		0.142765s
Read		20m		20m		1		12		0.15545s
Read		20m		20m		1		13		0.12875s
Read		20m		20m		1		14		0.134046s
Total_Read		300m		20m		1		15		0.207282s
AIO_Write		20m		20m		1		15		0.107545s
AIO_Read		20m		20m		1		15		0.066628s
MMap_Write		20m		20m		1		15		0.159904s
MMap_Read		20m		20m		1		15		1.0624s
UMmap_Write		20m		20m		1		15		0.142912s
UMmap_Read		20m		20m		1		15		1.29755s
Write		40m		20m		0		5		0.304312s
Write		40m		20m		1		5		0.229472s
Total_Write		40m		20m		2		5		0.266892s
Read		40m		20m		2		0		0.359266s
Read		40m		20m		2		1		0.545695s
Read		40m		20m		2		2		0.374656s
Read		40m		20m		2		3		0.266139s
Read		40m		20m		2		4		0.262159s
Total_Read		100m		20m		2		5		0.361583s
AIO_Write		40m		20m		2		5		0.32827s
AIO_Read		40m		20m		2		5		0.248853s
MMap_Write		40m		20m		2		5		0.322388s
MMap_Read		40m		20m		2		5		0.270366s
UMmap_Write		40m		20m		2		5		0.174985s
UMmap_Read		40m		20m		2		5		0.622701s
Write		40m		20m		0		10		0.328127s
Write		40m		20m		1		10		0.340042s
Total_Write		40m		20m		2		10		0.334085s
Read		40m		20m		2		0		0.282238s
Read		40m		20m		2		1		0.326013s
Read		40m		20m		2		2		0.214007s
Read		40m		20m		2		3		0.229014s
Read		40m		20m		2		4		0.228492s
Read		40m		20m		2		5		0.168294s
Read		40m		20m		2		6		0.224837s
Read		40m		20m		2		7		0.221971s
Read		40m		20m		2		8		0.227448s
Read		40m		20m		2		9		0.221752s
Total_Read		200m		20m		2		10		0.234407s
AIO_Write		40m		20m		2		10		0.215984s
AIO_Read		40m		20m		2		10		0.108103s
